X,Y,OBJECTID,NAME,DIAK_CDE,CONTENTS,FIPS_CNTRY,SIZE_
8443304.54918811,4321952.65433666,1,Yaerxia, ,oil,CH,Large
4256044.56633023,3253097.76450706,2,Ratawi, ,oil,IZ,Very large
-6794551.83219563,1236862.73888641,3,Chuchupa, ,gas,CO,Medium
10486458.2205626,4897327.00354608,4,Daqing, ,oil,CH,Very large
4277423.64921227,3224993.77925079,5,Rumaila, ,"gas,oil",IZ,Very large
10530247.5191862,4793670.79479137,7,Fuyu, ,oil,CH,Large
4313236.15222754,3228207.2575204,8,Zubair, ,"gas,oil",IZ,Very large
-6877948.01484264,1097805.37858757,9,El Dificil,0735,"oil,gas",CO,Very large
10600579.3079199,4373187.790339,10,Liaohe, ,oil,CH,Large
3543656.95684217,4084695.09651605,11,"Raman,Batiraman", ,oil,TU,Small
4315857.33096648,3175046.43302566,12,Raudhatain, ,oil,KU,Very large
4345649.78611625,3081699.3374668,14,Burgan, ,oil,KU,Very large
3705897.89413912,3955949.325825,16,Karachok, ,oil,SY,Large
4268779.33523619,2505172.45547718,17,Hawtah,0466,oil,SA,Large
3929109.3812374,3781359.24643719,18,Kirkuk,0570,oil,IZ,Very large
-7053037.10488772,896731.76348335,19,Sucre, ,gas,CO,Small
4484519.27482841,2707411.85181257,20,Ghawar, ,"gas,oil",SA,Very large
8125539.04924863,4173527.39461658,21,Lenghu, ,oil,CH,Large
4495441.21945171,2867228.29808671,23,Khursaniyah, ,oil,SA,Very large
8517679.04774216,4217015.84647382,24,Laojunmiao, ,oil,CH,Medium
4531633.60162792,2874560.49063682,26,Berri, ,"gas,oil",SA,Very large
6481868.82548487,3562414.78672744,27,"Meyal,Dhurnal,Toot", ,oil,PK,Small
6381358.79656224,3336259.0988124,29,Dhodak, ,gas,PK,Large
4563746.46985655,2846502.34446243,30,Qatif, ,oil,SA,Very large
4552929.9271265,2759704.33397062,32,Abqaiq, ,"gas,oil",SA,Very large
9573173.69605378,3420161.9861566,33,Longnusi,0672,oil,CH,Large
4723166.58242187,2986543.65054777,35,Kangan, ,gas,IR,Very large
10492172.4797031,3967154.8918528,37,Shengli, ,oil,CH,Very large
4669274.38846522,2724283.33228553,38,Dukhan, ,"gas,oil",QA,Very large
10221556.3417863,3729752.19491385,40,Zhongyuan, ,"gas,oil",CH,Large
4953445.94452631,2548722.52690891,41,Murban Bab,0902,"gas,oil",TC,Very large
10111125.769411,4150389.06348372,42,Renqiu, ,oil,CH,Very large
-6928686.54375326,823532.130045921,43,Payoa-Provincia, ,"oil,gas",CO,Large
4940449.49347198,2518394.12783975,44,Bu Hasa,0270,"gas,oil",TC,Very large
9646452.23488914,3075589.46047042,45,Huangguanshan, ,gas,CH,Large
9471750.61529564,3191343.98464432,47,Weiyuan, ,gas,CH,Very large
-6121950.53137666,7902076.24391002,48,Char, ,"oil,gas",CA,Large
9479728.07362975,3121437.65129551,49,Zigong, ,gas,CH,Very large
-8551641.93448147,3925883.60414047,50,Burbank, ,oil,US,Large
9522920.67065176,3152348.07424058,52,Neijian, ,gas,CH,Very large
9600437.42063432,3108504.21076246,53,Hejiang, ,gas,CH,Very large
-8517583.36899301,3850510.66409548,54,Glenn Pool, ,oil,US,Large
9563646.53652202,3072851.38074175,56,Naxi, ,gas,CH,Very large
-8678239.15042029,3804254.18892004,57,Oklahoma City, ,"oil,gas",US,Large
11116437.5844299,2638767.24614283,59,CBK, ,gas,TW,Small
-8714135.34323223,3688669.04451771,61,Golden Trend, ,oil,US,Large
3709134.62205145,3928219.61712109,62,Soudie(Suwaidiyah), ,"gas,oil",SY,Large
5632149.49684925,4160812.715141,63,Samantepe, ,gas,UZ,Large
-8563399.1861477,3653827.84262179,64,Queenton, ,gas,US,Large
5246838.49916822,7193361.09834798,66,Antipayutinskoye, ,gas,RS,Large
4358067.05238353,3049848.87809479,67,Wafra, ,oil,KU,Very large
-8514861.28643354,3688440.42148357,68,Kinta, ,gas,US,Medium
-6940430.14045982,395443.560926309,69,Apiay, ,oil,CO,Medium
4631303.6530217,2763729.01517197,70,Awali, ,"gas,oil",BA,Large
-8470252.48214592,3714490.93688802,71,Red Ok Norris, ,gas,US,Large
11092045.271021,-41104.0931637757,73,Attaka, ,"oil,gas",ID,Large
-8329321.71152558,3803718.09977835,74,"Sames,White Ok", ,gas,US,Medium
10094597.328618,2246322.83964706,76,Weizhou, ,oil,CH,Medium
-8293982.55165289,3786122.58164177,77,Etna, ,gas,US,Medium
11610324.0010259,5483022.88304652,79,"Katangliyskoye,Nabil'", ,"oil,gas",RS,Small
-8311392.58521205,3594286.62022718,80,Smackover, ,"oil,gas",US,Large
11427461.1770017,5672299.24856313,81,Ekhabi Vostochnoye, ,"oil,gas",RS,Small
12183522.4932916,4259701.91293173,83,Sarukawa, ,oil,JA,Small
-8426133.98772663,3502672.7096758,84,Caddo-Pine Island, ,"oil,gas",US,Large
-7252440.70440891,62122.5428822075,85,Orito, ,"oil,gas",CO,Large
3182073.19557212,2984257.9108137,86,Berquen, ,gas,SA,Large
-7186466.41024432,54271.1405530584,87,Nancy, ,oil,CO,Medium
-8522315.54003569,3500405.46583956,88,East Texas, ,"oil,gas",US,Large
4425139.53644695,3063556.52976392,89,Safaniyah(Khafji), ,"gas,oil",KU,Very large
-7267949.09478569,-15639.7881514426,90,Sacha-Lago Agrio, ,oil,EC,Large
4462527.88996161,3075818.08350456,91,Zuluf, ,oil,SA,Very large
-8553675.52395884,3524232.10709923,92,Hawkins, ,"oil,gas",US,Large
-7199831.869926,-26306.393687724,93,Libertador, ,oil,EC,Large
4496126.64594725,3085643.78800967,94,Marjan-Foroozan, ,oil,SA,Very large
-8606057.00858899,3508833.88784945,95,Van, ,oil,US,Large
-7249210.20528841,-115108.518929985,96,Auca, ,oil,EC,Large
4682451.47306793,2965216.31041007,97,Pars, ,gas,IR,Very large
-8611424.61102303,3249977.22362679,98,Konro, ,"oil,gas",US,Large
-7206074.44927611,-97270.2966356052,99,Yuca, ,oil,EC,Large
4743380.7973824,2827313.82350523,100,North Field, ,gas,QA,Very large
4771366.94220678,2850479.79652768,101,South Pars, ,gas,IR,Very large
-7132769.25110935,-109339.319690916,102,Tiputini, ,oil,EC,Medium
-8659020.15830059,3170342.39144632,103,"Tomson,Webster", ,oil,US,Large
-7352581.53018638,-171700.242526875,104,Oglan, ,oil,EC,Medium
4804808.47065719,2728845.17949565,105,Maydan-Mahzam,0502,"gas,oil",QA,Large
-8638497.48544307,3128674.53518731,106,Hastings, ,"oil,gas",US,Large
-7216247.99395987,-227405.127889252,107,Amazonas, ,oil,EC,Medium
4823848.35245054,2713217.37235056,108,Bul Hanine, ,oil,QA,Large
-8993492.65273364,2769333.35398134,109,"Reynosa,Mexicano", ,gas,MX,Large
-7196699.60547859,-294849.887822794,110,Capahuari, ,oil,PE,Large
4840301.13746599,2743416.28378136,111,Salman, ,oil,IR,Large
-8315644.68517474,2954765.71929854,112,Auger, ,"oil,gas",US,Small
-7138153.42092661,-256810.890739508,113,Dorissa, ,oil,PE,Medium
4920042.80297853,2658527.52092833,114,Umm Shaif, ,"gas,oil",TC,Large
-8214103.3103711,2961773.9801562,115,Jolliet, ,"oil,gas",US,Medium
-7101937.56239513,-404863.111963372,116,Corrientes, ,oil,PE,Large
4941232.75759939,2634353.88942985,117,Zakum, ,"gas,oil",TC,Large
5162827.4587301,2831695.12720341,118,Bukha, ,gas,MU,Large
-9100326.5655634,2374685.17188935,120,Ebano-Panuco,0801,oil,MX,Large
11381416.481506,5712441.32190321,121,Severnoye Kolendo, ,"oil,gas",RS,Small
-9011203.6424317,2373035.65179193,122,Arenque, ,oil,MX,Large
10481229.1572679,4278230.75454372,123,Suizhong, ,oil,CH,Large
-7622180.93806761,-247173.530403508,124,Ancon,0448,oil,EC,Small
6618636.7079835,2057752.00992703,125,Bombay High, ,"gas,oil",IN,Large
-9082745.95069057,2296607.13501349,126,"Naranjos,Cerro Azul", ,oil,MX,Large
