objectid,gmrap_id,coded_id,tract_name,name,name_other,name_group,includes,sitestatus,country,state_prov,latitude,longitude,dep_type,dep_subtype,age_ma,age_method,age_range,age_ref,comm_major,comm_minor,comm_trace,tonnage_mt,cu_pct,mo_pct,au_g_t,ag_g_t,con_cu_t,au_mo,comments,minerals,assd_rock,dev_status,ref_list,setting,study_area,short_ref,strat_age
1,216,005pCu1001,"Colombia Paleocene–Eocene Acandi",Acandi,,,,prospect,Colombia,Chocó,8.487777778,-77.321388889,"Porphyry copper",NA,38,unknown,"38 Ma","Carlos Mario Celada (oral commun., 2005)","Cu, Mo",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Original resources: 625 Mt at 0.77% Cu, 0.024% Mo (Long, 1995); more recent reports suggest less than 62 Mt (Harris, 2006). Note that this was listed as a deposit in Singer and others (2005).","albite, calcite, chalcopyrite, chlorite, epidote, pyrite, sericite","tonalite, basalt",Prospect,"Anonymous (1979); Harris (2006); Long (1995); Sillitoe (1988); Sillitoe and others (1982); Singer and others (2005); Singer and others (2008); Carlos Mario Celada (oral commun., 2005)","island arc",Andes,"Cunningham and others (2008)",Eocene
2,323,005pCu1014c,"Argentina Miocene–Pliocene Bajo de la Alumbrera","Agua Rica","Mi Vida",,,deposit,Argentina,Catamarca,-27.370833333,-66.28,"Porphyry copper",NA,6,unknown,"6–5 Ma","Singer and others (2008)","Cu, Mo, Au, Ag",,,1761,0.42,0.033,0.18,3.2,7400000,5.5,"0.2% Cu cut-off grade. Exposed. Superposition of multistage mineralized breccia. Farallon Negro volcanic region.","actinolite, alunite, andalusite, anhydrite/gypsum, barite, biotite, bornite, carbonate, chalcocite/digenite, chalcopyrite, chlorite, corundum, covellite, enargite, galena, jarosite, kaolinite/illite/dickite, magnetite, marcasite, molybdenite, pyrite,pyrophyllite, rhodochrosite, rutile, smectite, sericite, sphalerite, sulfur, tetrahedrite/tennantite, tourmaline, zunyite","breccia, dacite porphyry, quartz feldspar porphyry, rhyolite porphyry,basalt, conglomerate, granite, migmatite, syenodiorite,andesite, monzodiorite, schist",Prospect,"Bargmann (2000); Koukharsky and Mirré (1976); Landtwing and others (2002); Northern Orion Resources Inc. (2007); Perelló and others (1998); Roco and Koukharsky (1999); Rojas and others (1998); Sasso and Clark (1998); Singer and others (2008); Singer and others (2005)","continental margin",Andes,"Cunningham and others (2008)",Miocene
3,250,005pCu1006,"Peru-Ecuador middle–late Miocene La Granja",Aguila,"El Aguila",,,deposit,Peru,Ancash,-8.559722222,-77.896666667,"Porphyry copper",Cu-Mo,-9999,"Geologic inference",Miocene–Pliocene,"Singer and others (2008)","Cu, Mo",,,34,0.85,0.031,-9999,-9999,290000,-9999,Exposed.,"biotite, bornite, chalcopyrite, molybdenite, pyrite, pyrrhotite, sericite","breccia, diorite porphyry, granodiorite porphyry, pegmatite, quartz monzonite porphyry, quartz porphyry, andesite, granodiorite, monzonite, mudstone, quartzite, sandstone",Producer,"Bosc (1980); Duran Ventures Inc. (2004); Duran Ventures Inc. (2006); Petersen and Vidal (1996); Simons (1964?); Singer and others (2008); Singer and others (2005)","continental margin",Andes,"Cunningham and others (2008)",Miocene–Pliocene
4,330,005pCu1016ab,"Argentina Permian San Jorge",Alcaparrosa,,,,prospect,Argentina,"San Juan",-31.3,-69.366666667,"Porphyry copper",NA,267,"K-Ar biotite","267 ±4 Ma","Sillitoe (1977)",,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,"biotite, chalcopyrite, pyrite","diorite porphyry",Occurrence,"Sillitoe (1977); Zappettini and others (1999); Singer and others (2008); Singer and others (2005)","continental margin",Andes,"Cunningham and others (2008)","Middle Permian"
5,256,005pCu1007,"Peru-Ecuador Cretaceous Almacen",Almacen,,,,prospect,Peru,Ica,-13.234722222,-75.916666667,"Porphyry copper",NA,-9999,"Geologic inference","Cretaceous or younger","geologic inference","Cu, Mo, Ag",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Exposed. Resource (not fully characterized): 150 Mt at 0.3% Cu, 0.025% Mo, 8 g/t Ag.","biotite, calcite, chalcocite, chalcopyrite, chlorite, cubanite, epidote, galena, iron oxide, magnetite, molybdenite, pyrite, pyrrhotite, sericite, sphalerite","aplite, breccia, dacite, microgranodiorite dike, quartz porphyry, diorite, granodiorite, monzonite, quartzite, sandstone, tonalite","Past Producer","Estrada (1980); Petersen and Vidal (1996); Simons (1964?); Vidal (1985); Singer and others (2008); Singer and others (2005)","continental margin",Andes,"Cunningham and others (2008)","Cretaceous or younger"
6,266,005pCu1007,"Peru-Ecuador Cretaceous Almacen",Alondra,,,,prospect,Peru,Arequipa,-15.816666667,-73.583333333,"Porphyry copper",NA,-9999,"Geologic inference","Cretaceous or younger","geologic inference",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Average 0.7% Cu.","copper oxides, limonite","andesite dikes, andesite flow, dacite, quartz diorite",Prospect,"INGEMMET (2001a); Singer and others (2008); Singer and others (2005)","continental margin",Andes,"Cunningham and others (2008)","Cretaceous or younger"
7,635,005pCu1006,"Peru-Ecuador middle–late Miocene La Granja","Alto Dorado",,,,prospect,Peru,"La Libertad",-8.166666667,-78.183333333,"Porphyry copper",NA,-9999,"Geologic inference","mid-Miocene–late Miocene or younger","geologic inference","Cu, Au",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Drill core samples from stockwork at 46 to 201 m depth grade 0.1 to 1.2 g/t Au and 0.1 to 0.69% Cu. Exposed. Cu-Au subtype(?).","alunite, chalcocite, chalcopyrite, chlorite, kaolinite/dickite, epidote, jarosite, magnetite, malachite, phlogopite, pyrite, pyrophyllite, sericite, tenorite","breccia, andesite, andesite porphyry, diorite, granodiorite, tuff",Occurrence,"Candente Resource Corp. (2004a); Candente Resource Corp. (2004b); Singer and others (2005); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)","mid-Miocene–late Miocene or younger"
8,298,005pCu1017,"Chile Cretaceous Antucoya",Angelina,,,"Rio Blanco",prospect,Chile,Antofagasta,-24.398333333,-69.6075,"Porphyry copper",NA,-9999,"Geologic inference","Cretaceous or younger","geologic inference",,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Hematitic leached capping. 31 Ma of supergene alunite.","alunite, hematite","sericitic porphyry","Past Producer","Sillitoe and McKee (1996); Singer and others (2008); Singer and others (2005)","continental margin",Andes,"Cunningham and others (2008)","Cretaceous or younger"
9,260,005pCu1007,"Peru-Ecuador Cretaceous Almacen","Anita de Tibilos",,,,prospect,Peru,Ica,-14.183333333,-75.148333333,"Porphyry copper",NA,-9999,"Geologic inference","Cretaceous or younger","geologic inference",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Last production 1990: 0.275 Mt at 3.5% Cu.","bornite, chalcocite, chalcopyrite, covellite, limonite, magnetite, pyrite","diorite, granodiorite, tuff",Occurrence,"INGEMMET (2001b); Singer and others (2008); Singer and others (2005)","continental margin",Andes,"Cunningham and others (2008)","Cretaceous or younger"
10,263,005pCu1009,"Peru Eocene–Oligocene Antapaccay",Antapaccay,,,,deposit,Peru,Cuzco,-14.96,-71.346666667,"Porphyry copper",NA,36,unknown,"38.4–34 Ma","Singer and others (2008)","Cu, Mo, Au",,,472,0.74,0.006,0.15,-9999,3500000,20,"Resource as of March 2, 2007, at 0.4% Cu cut-off grade. Andahuaylas-Yauri belt. Large post-mineral diatreme. Exposed. Cu-Au in Singer and others' (2005) database.","anhydrite/gypsum, azurite/malachite, biotite, bornite, chalcocite, chalcopyrite, chlorite, chrysocolla, clay, copper, cuprite, epidote, garnet, kaolinite, magnetite, molybdenite, pyrite, sericite, tennantite","andesite porphyry, breccia, dacite porphyry, diorite, granodiorite porphyry, monzonite porphyry, quartz monzonite porphyry, skarn, conglomerate, limestone, sandstone, siltstone",Prospect,"Jones and others (2007); Perelló, Carlotto and others (2003); Sillitoe (2000a); Stryas (2000); Xstrata Copper (2007); Zappettini and others (2001); Singer and others (2008); Singer and others (2005)","continental margin",Andes,"Cunningham and others (2008)",Eocene
